Participant ID,Time Point,Gender,Length Organization (YRS),Length Position (YRS),Employment Status,Position Rank,W1,W1R,W2,W2R,W3,W3R,W4,W5,C6,C7,C8,C9,R10,R11,R12,R12R,R13,R13R,CO14,CO15,CO16,CO17,CO18,CO18R,F19,F20,F21,F22,F23,F23R,F24,F24R,V25,V26,V27,V28,Workload,Control,Reward,Community,Fairness,Values,,,Data Check By: (Initials),Data Checked Date,Notes
BIN01,Baseline,,,,,,3,3,4,2,4,2,3,2,4,4,4,4,3,3,4,2,3,3,4,4,4,4,2,4,4,3,4,4,2,4,4,2,4,4,4,4,2.400,4.000,3.000,4.000,3.500,4.000,,,KAB,9/19/2023,
BIN01,Follow Up,Female,3-5,3-5,Full-time,Frontline,2,4,2,4,3,3,4,2,4,4,4,3,2,3,4,2,3,3,3,4,4,4,2,4,4,3,3,4,2,4,2,4,4,4,4,4,3.400,3.750,2.750,3.800,3.667,4.000,KEY,,KAB,9/19/2023,
BIN02,Baseline,,,,,,4,2,3,3,2,4,4,3,4,4,4,4,4,4,2,4,2,4,4,4,4,4,2,4,4,4,4,4,3,3,2,4,4,4,4,4,3.200,4.000,4.000,4.000,3.833,4.000,1 = Strongly Disagree,,,,
BIN02,Follow Up,Female,3-5,3-5,Full-time,Frontline,4,2,4,2,4,2,4,4,4,4,4,4,4,4,4,2,4,2,3,4,4,4,4,2,3,3,4,4,4,2,4,2,4,3,3,4,2.800,4.000,3.000,3.400,3.000,3.500,2 = Disagree,,,,
BIN03,Baseline,,,,,,1,5,1,5,1,5,5,3,5,5,5,5,5,5,1,5,1,5,3,4,4,3,4,2,4,1,5,4,1,5,1,5,5,5,5,5,4.600,5.000,5.000,3.200,4.000,5.000,3 = Hard to Decide,,,,
BIN03,Follow Up,Female,11-15,1-2,Full-time,Frontline,1,5,2,4,1,5,5,3,4,4,5,3,4,5,1,5,1,5,4,4,4,4,2,4,5,1,5,5,1,5,1,5,5,4,5,5,4.400,4.000,4.500,4.000,4.333,4.750,4 = Agree,,,,
BIN04,Baseline,,,,,,2,4,4,2,4,2,4,1,5,5,5,5,4,4,4,2,5,1,4,4,4,5,5,1,5,2,4,4,1,5,2,4,4,4,4,4,2.600,5.000,3.000,3.600,4.000,4.000,5 = Strongly Agree,,,,
BIN04,Follow Up,Female,3-5,3-5,Full-time,Frontline,2,4,5,1,4,2,4,1,5,4,4,4,4,4,2,4,4,2,4,4,4,4,4,2,4,2,4,4,2,4,2,4,3,2,3,4,2.400,4.250,3.500,3.600,3.667,3.000,Blank = Missing Data,,,,
BIN05,Baseline,,,,,,3,3,5,1,2,4,3,4,4,4,4,4,3,3,4,2,4,2,3,2,4,4,2,4,4,3,3,4,3,3,4,2,3,3,4,3,3.000,4.000,2.750,3.400,3.167,3.250,,,,,
BIN05,Follow Up,Female,16-20,16-20,Full-time,Frontline,4,2,4,2,2,4,3,4,4,4,4,4,2,3,4,2,3,3,3,4,4,4,3,3,3,4,3,2,2,4,4,2,2,3,2,3,3.000,4.000,2.750,3.600,3.000,2.500,,,,,
BIN06,Baseline,,,,,,1,5,4,2,1,5,5,5,5,3,5,5,4,4,2,4,2,4,5,5,5,5,2,4,5,4,4,3,1,5,2,4,5,5,5,5,4.400,4.500,3.750,4.800,4.167,5.000,,,,,
BIN06,Follow Up,Female,1-2,1-2,Full-time,Frontline,1,5,2,4,1,5,4,5,4,4,4,4,3,4,3,3,4,2,5,5,5,4,2,4,5,4,3,4,2,4,2,4,4,,4,5,4.600,4.000,3.000,4.600,4.000,4.333,,,,,Items 2 and 3 are 2.5 years
BIN07,Baseline,,,,,,4,2,4,2,3,3,2,2,3,3,3,3,5,4,3,3,3,3,4,4,4,4,2,4,4,2,2,2,4,2,3,3,4,5,5,5,2.200,3.000,3.500,4.000,2.500,4.750,,,,,
BIN07,Follow Up,Female,6-10,6-10,Full-time,,3,3,5,1,4,2,3,2,2,3,1,3,4,3,2,4,4,2,4,3,4,4,2,4,3,3,2,1,5,1,3,3,5,4,5,5,2.200,2.250,3.250,3.800,2.167,4.750,Scores >3.0 = high congruence in each domain,,,,
BIN08,Baseline,,,,,,4,2,4,2,4,2,2,2,4,3,4,4,2,3,4,2,4,2,4,4,3,3,2,4,4,2,3,4,2,4,5,1,4,4,3,4,2.000,3.750,2.250,3.600,3.000,3.750,Scores <3.0 = low congruence in each domain,,,,
BIN08,Follow Up,Female,3-5,1-2,Full-time,Intermediate Management,3,3,4,2,3,3,4,1,4,4,4,4,4,4,3,3,4,2,4,4,3,4,2,4,4,3,4,4,3,3,4,2,4,4,4,5,2.600,4.000,3.250,3.800,3.333,4.250,,,,,
BIN09,Baseline,,,,,,3,3,4,2,2,4,4,4,4,4,4,4,4,3,3,3,4,2,4,4,4,4,2,4,4,4,4,4,2,4,1,5,4,4,4,4,3.400,4.000,3.250,4.000,4.167,4.000,,,,,
BIN09,Follow Up,Female,21+,16-20,Full-time,Frontline,2,4,5,1,2,4,3,4,5,4,4,4,4,4,2,4,2,4,4,4,4,4,1,5,4,2,3,5,1,5,1,5,4,4,4,5,3.200,4.250,4.000,4.200,4.000,4.250,,,,,"Participant selected ""frontline"" staff and wrote in ""no patient care"""
BIN10,Baseline,,,,,,4,2,4,2,4,2,3,2,4,4,4,4,4,4,4,2,4,2,3,4,4,4,2,4,4,3,3,4,2,4,4,2,4,4,4,4,2.200,4.000,3.000,3.800,3.333,4.000,,,,,
BIN10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN11,Baseline,,,,,,2,4,2,4,1,5,2,2,1,1,4,2,1,1,5,1,5,1,2,2,2,2,2,4,1,5,2,1,5,1,5,1,5,4,4,4,3.400,2.000,1.000,2.400,1.833,4.250,,,KAB,9/20/2023,
BIN11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN12,Baseline,,,,,,1,5,2,4,4,2,5,3,3,4,4,4,4,4,2,4,1,5,4,4,4,3,2,4,4,3,4,5,1,5,1,5,5,5,5,5,3.800,3.750,4.250,3.800,4.333,5.000,,,KAB,9/20/2023,
BIN12,Follow Up,Female,1-2,1-2,Full-time,Frontline,1,5,1,5,1,5,4,4,3,4,4,4,3,3,3,3,3,3,5,5,5,5,2,4,4,4,4,5,2,4,3,3,5,5,5,5,4.600,3.750,3.250,4.800,4.000,5.000,,,KAB,9/20/2023,
BIN13,Baseline,,,,,,2,4,4,2,1,5,3,5,4,2,4,3,2,3,5,1,4,2,5,5,5,4,1,5,3,2,2,3,3,3,2,4,4,4,5,5,3.800,3.250,1.750,4.800,2.833,4.500,,,KAB,9/20/2023,
BIN13,Follow Up,Female,3-5,3-5,Part-time,Frontline,2,4,4,2,1,5,3,5,4,2,4,3,2,3,4,2,4,2,4,4,4,3,2,4,3,2,3,3,4,2,4,2,4,3,4,4,3.800,3.250,2.000,3.800,2.500,3.750,,,KAB,9/20/2023,
BIN14,Baseline,,,,,,1,5,2,4,2,4,4,5,3,2,4,2,3,3,4,2,4,2,3,4,3,4,1,5,3,3,2,4,4,2,2,4,4,4,4,5,4.400,2.750,2.250,3.800,3.000,4.250,,,KAB,9/20/2023,
BIN14,Follow Up,Male,11-15,3-5,Full-time,Frontline,1,5,3,3,2,4,5,5,3,2,4,3,4,4,2,4,2,4,4,4,4,4,1,5,4,2,3,2,4,2,3,3,4,4,4,5,4.400,3.000,3.500,4.200,2.667,4.250,,,KAB,9/20/2023,
BIN15,Baseline,,,,,,4,2,4,2,4,2,3,2,4,4,4,4,4,4,3,3,4,2,4,4,4,4,1,5,5,3,3,4,3,3,2,4,5,5,5,5,2.200,4.000,3.250,4.200,3.667,5.000,,,KAB,9/20/2023,
BIN15,Follow Up,Female,3-5,1-2,Full-time,Frontline,4,2,4,2,3,3,2,2,2,3,4,3,4,4,3,3,4,2,4,4,3,3,2,4,4,4,4,4,2,4,2,4,4,4,4,4,2.200,3.000,3.000,3.600,4.000,4.000,,,KAB,9/20/2023,
BIN16,Baseline,Female,1-2,1-2,Full-time,Frontline,3,3,3,3,3,3,4,3,4,2,4,4,3,4,3,3,3,3,4,5,5,5,2,4,4,2,2,5,2,4,2,4,4,4,4,4,3.200,3.500,2.750,4.600,3.500,4.000,,,KAB,9/20/2023,
BIN16,Follow Up,,,,,,2,4,4,2,3,3,4,2,5,3,5,4,4,4,1,5,1,5,5,5,5,5,1,5,4,1,3,5,1,5,2,4,5,3,4,5,3.000,4.250,4.250,5.000,3.667,4.250,,,KAB,9/20/2023,
BIN17,Baseline,Male,6-10,6-10,Full-time,Frontline,2,4,4,2,2,4,4,3,4,2,2,3,1,2,5,1,5,1,2,3,3,2,4,2,3,2,3,1,4,2,3,3,5,5,4,5,3.400,2.750,1.250,2.400,2.333,4.750,,,KAB,9/20/2023,
BIN17,Follow Up,Male,6-10,3-5,Full-time,Frontline,1,5,5,1,3,3,4,5,4,3,4,4,3,4,4,2,4,2,3,4,3,4,3,3,2,3,4,2,4,2,4,2,5,5,4,4,3.600,3.750,2.500,3.400,2.500,4.500,,,KAB,9/20/2023,
BIN18,Baseline,Female,1-2,1-2,Full-time,Frontline,2,4,2,4,2,4,5,5,4,4,4,4,3,4,2,4,2,4,2,4,3,3,2,4,4,5,3,4,2,4,3,3,5,5,5,5,4.400,4.000,3.750,3.200,3.833,5.000,,,KAB,9/20/2023,
BIN18,Follow Up,Female,1-2,1-2,Full-time,Frontline,2,4,2,4,2,4,5,4,4,4,4,4,4,4,2,4,3,3,5,5,4,5,2,4,5,4,4,5,1,5,3,3,5,5,5,5,4.200,4.000,3.750,4.600,4.333,5.000,,,KAB,9/20/2023,
BIN19,Baseline,Female,3-5,3-5,Part-time,Frontline,2,4,4,2,4,2,2,2,4,4,2,4,4,4,2,4,2,4,4,3,4,4,2,4,4,4,4,4,2,4,2,4,4,4,4,4,2.400,3.500,4.000,3.800,4.000,4.000,,,KAB,9/20/2023,
BIN19,Follow Up,Female,3-5,3-5,Part-time,Frontline,2,4,4,2,3,3,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,2,4,4,4,3,4,2,4,2,4,4,4,2,4,3.400,4.000,4.000,4.000,3.833,3.500,,,KAB,9/20/2023,
BIN20,Baseline,Female,0-6mo,0-6mo,Full-time,Frontline,2,4,2,4,2,4,4,,4,3,3,4,3,4,2,4,2,4,3,3,3,3,3,3,4,3,3,4,2,4,3,3,4,4,4,4,4.000,3.500,3.500,3.000,3.500,4.000,,,KAB,9/20/2023,
BIN20,Follow Up,Female,0-6mo,0-6mo,Full-time,Frontline,2,4,2,4,2,4,4,2,3,2,2,4,2,4,2,4,2,4,3,4,3,4,3,3,3,3,3,4,2,4,2,4,4,3,2,4,3.600,2.750,3.000,3.400,3.500,3.250,,,KAB,9/20/2023,
BIN21,Baseline,Female,1-2,1-2,Full-time,Frontline,5,1,5,1,5,1,2,3,5,4,4,3,2,3,4,2,4,2,4,4,4,4,5,1,4,3,3,4,2,4,3,3,5,3,5,4,1.600,4.000,2.500,3.400,3.500,4.250,,,KAB,9/20/2023,
BIN21,Follow Up,Female,1-2,1-2,Full-time,Frontline,4,2,4,2,3,3,4,4,4,4,4,4,2,3,4,2,4,2,4,4,4,4,1,5,3,3,3,4,2,4,3,3,5,3,5,3,3.000,4.000,2.500,4.200,3.333,4.000,,,KAB,9/20/2023,
BIN22,Baseline,Male,6-10,7-11mo,Full-time,Frontline,2,4,2,4,1,5,1,1,5,5,5,5,5,5,1,5,1,5,5,5,5,5,3,3,4,3,4,5,1,5,4,2,5,4,4,4,3.000,5.000,5.000,4.600,3.833,4.250,,,KAB,9/20/2023,
BIN22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIN23,Baseline,Female,0-6mo,0-6mo,Full-time,Frontline,2,4,2,4,2,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,4,4,4,2,4,4,2,4,4,4,4,4.000,4.000,3.000,4.000,3.667,4.000,,,KAB,9/20/2023,
BIN23,Follow Up,Female,0-6mo,0-6mo,Full-time,Frontline,2,4,2,4,2,4,4,2,4,4,4,4,4,4,4,2,4,2,4,4,4,4,2,4,4,2,4,4,3,3,2,4,4,4,4,4,3.600,4.000,3.000,4.000,3.500,4.000,,,KAB,9/20/2023,